,base_asset,compare_asset,label
39611,HEPA,MICR,0
39612,HEPA,MICT,0
39613,HEPA,MIGI,0
39614,HEPA,MINM,0
39615,HEPA,MITT,0
39616,HEPA,MLSS,0
39617,HEPA,MMAT,0
39618,HEPA,MNDO,0
39619,HEPA,MNMD,0
39620,HEPA,MNOV,0
39621,HEPA,MOBQ,0
39622,HEPA,MOXC,0
39623,HEPA,MPAA,0
39624,HEPA,MRAM,0
39625,HEPA,MRIN,0
39626,HEPA,MRKR,0
39627,HEPA,MSVB,0
39628,HEPA,MTEX,0
39629,HEPA,MTMT,0
39630,HEPA,MULN,0
39631,HEPA,MYMD,0
39632,HEPA,NAII,0
39633,HEPA,NATR,0
39634,HEPA,NAVB,0
39609,HEPA,MGNX,0
39635,HEPA,NBGV,0
39608,HEPA,MEDS,0
39606,HEPA,MDWD,0
39581,HEPA,KTRA,0
39582,HEPA,KVHI,0
39583,HEPA,KZIA,0
39584,HEPA,LARK,0
39585,HEPA,LCTX,0
39586,HEPA,LEDS,0
39587,HEPA,LFVN,0
39588,HEPA,LINC,0
39589,HEPA,LINK,0
39590,HEPA,LIVE,0
39591,HEPA,LMFA,0
39592,HEPA,LMNL,0
39593,HEPA,LMNR,0
39594,HEPA,LOAN,0
39595,HEPA,LOCO,0
39596,HEPA,LPCN,0
39597,HEPA,LPTH,0
39598,HEPA,LSBK,0
39599,HEPA,LTBR,0
39600,HEPA,LTRX,0
39601,HEPA,LUMO,0
39602,HEPA,LUNA,0
39603,HEPA,LXRX,0
39604,HEPA,MARK,0
39605,HEPA,MBOT,0
39607,HEPA,MDXG,0
39636,HEPA,NBRV,0
39637,HEPA,NBSE,0
39638,HEPA,NEGG,0
39669,HEPA,OPHC,0
39670,HEPA,OPOF,0
39671,HEPA,ORGS,0
39672,HEPA,ORMP,0
39673,HEPA,OSUR,0
39674,HEPA,OTIC,0
39675,HEPA,OTLK,0
39676,HEPA,OTRK,0
39677,HEPA,PALI,0
39678,HEPA,PALT,0
39679,HEPA,PBHC,0
39680,HEPA,PBLA,0
39681,HEPA,PBPB,0
